Expected,observed mic,Observed audio
x ²+ y ²= z,x ²+ y ²= z,x ²+ y ²= z
y=mx+c,y=mx+c,y=mx+c
2+5=7,2+5=7,2+5=7
∀ x in a,∀ eggs in a,∀ eggs in a
γ,γ,γ
Γ,Γ,Γ
-,-,
hello welcome to our project math,hello welcome to our project math,hello welcome to our project math
²P₃,²P₃,²P₃
2 + ( 3 × 4 ),2 + ( 3 × 4 ),2 + ( 3 × 4 )
2 ³,2 ³,2 ³
V,V,V
8 ⁹,8 ⁹,8 ⁹
[2+3],[2+3,[2+3]
x ≤ y,x ≤ y,x ≤ y
a ⇒ b,a ⇒ b,a ⇒ b
x ∈ r,x ∈ r,x ∈ r
y ∈ r,y ∈ r,why ∈ r
∃,∃,∃
∵,∵,
∴,∴,∴
ε,ε,ε
del,dell,
δ,δ,δ
n !,n !,n !
π,π,
rho,err,
σ,σ,σ
σ ⁴,σ ⁴,σ raised 24
σ ²,σ ²,σ ²
ω,ω,ω
phi,err,
